benchmark,num_vars,gr1_real,gr1_states,gr1_path,altl_real,altl_states,altl_path,agr1_real,agr1_states,agr1_path
amba_ahb_w_guar_fairness_amba_ahb_1,16,UNKNOWN,,experiments/automata/gr1mine/amba_ahb_w_guar_fairness_amba_ahb_1.txt,,,,,,
amba_ahb_w_guar_trans_amba_ahb_1,16,UNKNOWN,,experiments/automata/gr1mine/amba_ahb_w_guar_trans_amba_ahb_1.txt,,,,,,
amba_ahb_wo_ass_fairness_amba_ahb_1,16,REALIZABLE,14,experiments/automata/gr1mine/amba_ahb_wo_ass_fairness_amba_ahb_1.txt,,,,,,
amba_ahb_w_guar_fairness_amba_ahb_2,22,UNKNOWN,,experiments/automata/gr1mine/amba_ahb_w_guar_fairness_amba_ahb_2.txt,,,,,,
amba_ahb_w_guar_trans_amba_ahb_2,22,UNKNOWN,,experiments/automata/gr1mine/amba_ahb_w_guar_trans_amba_ahb_2.txt,,,,,,
amba_ahb_wo_ass_fairness_amba_ahb_2,22,UNKNOWN,,experiments/automata/gr1mine/amba_ahb_wo_ass_fairness_amba_ahb_2.txt,,,,,,
specs_A2woef1,22,REALIZABLE,65,experiments/automata/gr1mine/specs_A2woef1.txt,,,,,,
specs_A2wsf1,22,UNKNOWN,,experiments/automata/gr1mine/specs_A2wsf1.txt,,,,,,
specs_A2wsf2,22,UNKNOWN,,experiments/automata/gr1mine/specs_A2wsf2.txt,,,,,,
specs_A2wst1,22,UNKNOWN,,experiments/automata/gr1mine/specs_A2wst1.txt,,,,,,
specs_A2wst2,22,UNKNOWN,,experiments/automata/gr1mine/specs_A2wst2.txt,,,,,,
gen_buf_w_guar_fairness_5_genbuf,24,REALIZABLE,11,experiments/automata/gr1mine/gen_buf_w_guar_fairness_5_genbuf.txt,UNREALIZABLE,,experiments/automata/atlas_ltl/gen_buf_w_guar_fairness_5_genbuf.hoa,REALIZABLE,9,experiments/automata/atlas_gr1/gen_buf_w_guar_fairness_5_genbuf.txt
gen_buf_w_guar_trans_5_genbuf,24,REALIZABLE,9,experiments/automata/gr1mine/gen_buf_w_guar_trans_5_genbuf.txt,UNREALIZABLE,,experiments/automata/atlas_ltl/gen_buf_w_guar_trans_5_genbuf.hoa,REALIZABLE,11,experiments/automata/atlas_gr1/gen_buf_w_guar_trans_5_genbuf.txt
gen_buf_wo_ass_fairness_5_genbuf,24,REALIZABLE,11,experiments/automata/gr1mine/gen_buf_wo_ass_fairness_5_genbuf.txt,REALIZABLE,1,experiments/automata/atlas_ltl/gen_buf_wo_ass_fairness_5_genbuf.hoa,,,
